calificacion,comentarios,Clasificacion,longitud
6,solicita factura y falta de seguimiento de su consultora yazareth,Detractor,65
0,mala atencion por parte de control de calidad fue muy grosera,Detractor,61
6,no muetran las piezas que cambian tardan muchos dias en diagnostico,Detractor,67
6,de gm no reconmdaria nada,Detractor,25
8,agilisar el resivo de las unidads creo nos ayudaria mucho,Detractor,57
8,entregas mas agiles,Neutro,19
0,reporta golpes en carroceria faro roto y vestiduras sucias,Detractor,58
8,el tiempo de respuesta de los mensajes,Neutro,38
10,comenta que su unidad sigue presentando la misma falla por la que ingreso al distribuidor,Neutro,89
8,mejor calidad del producto el servicio y el personal 10,Detractor,55
9,no tardar tanto en enviar presupuestos,Neutro,38
0,se me hace absurdo que pague mas de 14 mil pesos en un servicio y paquete premium y la unidad me la hayan entregado demasiado sucia juan zarate,Detractor,143
10,la unidad quedo grasosa de los interiores luis fernando,Promotor,55
0,reporta golpes en carroceria faro roto y vestiduras sucias,Detractor,58
10,todo muy bien,Promotor,13
9,solo 9 no tiene comentarios,Neutro,27
10,todo muy bien,Promotor,13
9,nada todo bien,Promotor,14
8,ya estaba en camino y le dijeron que la unidad aun no estaba lista le entregaron despues de la hora acordada,Detractor,108
8,no hacer presupuestos tan inflados de reparaciones que ademas no urgen,Detractor,70
10,todo muy bien,Promotor,13
10,todo bien,Promotor,9
8,tardaron en entregarle la unidad,Neutro,32
10,todo bien en el servicio tiene pendientes sus placas,Promotor,52
8,sugiere agregar fotos de ras refacciones remmplazadas como prueba de que si le colocaron nuevas piezas,Detractor,102
10,todo muy bien,Promotor,13
10,todo bien pero la mano de obra es muy cara,Promotor,42
8,en su segunda visita todo mejoro y califica con10,Promotor,49
10,todo bien,Promotor,9
10,muy recomendable el servicio sobre todo la atencion del valet es muy comodo enviar los autos asi,Promotor,96
0,nunca me contestaron el telefono,Detractor,32
8,por la noche ese mismo dia me empezo a fallar la direccion una muy desafortunada coincidencia 😐,Detractor,95
8,tuvieron que regresar porque la unidad seguia sacando humo del escape regreso al distribuidor y lo repararon,Detractor,108
10,todo estuvo en orden,Promotor,20
10,todo bien,Promotor,9
10,confirma calificacion de 10 aunque le hes molesto que le llamen para hacer otra encuesta,Detractor,88
10,todo salio bien,Promotor,15
10,todo estuvo bien,Promotor,16
6,reporta retrovisor roto,Detractor,23
10,todo estuvo muy bien,Promotor,20
10,todo muy bien,Promotor,13
10,todo estuvo muy bien,Promotor,20
10,todo perfecto,Promotor,13
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,solo dejaria como observacion que no sellaron mi poliza el dia de mi servicio me la sellaron el dia de hoy y respecto al lavado es la segunda vez y no esta bien lavado ademas de que los asientos no los dejan como cuando ingreso la unidad admon lavador,Neutro,251
10,todo muy bien,Promotor,13
6,le querian cobrar mas sin haber autorizado,Detractor,42
8,el lavado de cortesia pienso que deberia ser mejor admon lavador,Neutro,64
10,todo muy bien,Promotor,13
10,todo estuvo perfecto,Promotor,20
10,todo estuvo perfecto,Promotor,20
10,todo estuvo muy bien,Promotor,20
10,en el ultimo servicio si los recomiendo pero en el anterior del 05 de abril me quedo con una sensacion de que no se le da el seguimiento adecuado,Promotor,145
6,mal trato por parte del personal tardaron en recibir la unidad el vehiculo estaba sucio por dentro juan zarate,Detractor,110
10,todo estuvo perfecto,Promotor,20
6,la unidad sigue en el distribuidor,Neutro,34
6,comenta que lo atendieron tarde y le quisieron vender algo que no necesitab a,Detractor,77
10,todo esta bien hasta el momento,Promotor,31
0,lo mensione en la encuesta de la agencia,Detractor,40
9,cajas mas eficientes y solicita factura,Neutro,39
8,no le mostraron el servicio realizado ni revisaron las cosas que reporto,Detractor,72
8,comenta que tuvo inconveniente con el lavado que se realizo y ya lo reporto con alguien mas luis fernando,Neutro,105
10,todo estuvo en orden,Promotor,20
10,todo estuvo excelente,Promotor,21
9,excelente atencion,Promotor,18
10,excelente por hoy siempre son muy atentos y amables,Promotor,51
10,todo bien todo perfecto,Promotor,23
10,todo bien,Promotor,9
10,toda esta perfecto,Promotor,18
10,muy buen servicio,Promotor,17
10,todo bien,Promotor,9
10,todo muy bien,Promotor,13
10,es muy linda mi asesora,Promotor,23
10,muy buen servicio,Promotor,17
10,excelente,Promotor,9
10,el servicio todo bien solo que no pudieron hacer mi estetica interior,Neutro,69
9,es muy repetitivo estar brindando nuestros datos y los costos esta muy caro,Neutro,75
10,todo muy bien,Promotor,13
8,el tiempo de entrega respetarlo y brindar mejor la informacion sobre lo que requiere unidad,Neutro,91
10,ninguno todo muy bien,Promotor,21
8,tiempo de entrega muy largo,Neutro,27
10,todo es muy bueno,Promotor,17
9,un poco mas de comunicacion,Neutro,27
10,muy agradecido por la atencion de fernando y de todos,Promotor,53
9,todo muy bien como siempre solo esta ocasion me entregaron mi unidad con un pequeno golpe,Promotor,89
5,mucho tiempo sin retroalimentacion por parte del asesor amables pero no hay comunicacion,Detractor,88
9,todo bien,Promotor,9
10,muy buena atencion,Promotor,18
10,buena atencion,Promotor,14
10,todo estuvo bien,Promotor,16
10,buena atencion,Promotor,14
10,siempre pido la primera cita y siempre llega tarde la persona que me atendera,Promotor,77
10,excelente,Promotor,9
9,esta bien la atencion,Promotor,21
10,todo bien,Promotor,9
10,todo muy bien,Promotor,13
10,todo bien,Promotor,9
10,excelente servicio,Promotor,18
10,todo en orden,Promotor,13
10,todo bastante bien,Promotor,18
3,ser mas claro en la informacion de los costos y que deshabiliten las opciones de servicio ya que no lo dirigen a donde uno quiere,Detractor,129
10,excelente,Promotor,9
10,todo bien,Promotor,9
10,excelente servicio,Promotor,18
10,todo excelente,Promotor,14
7,los precios son muy altos,Neutro,25
10,buena atencion,Promotor,14
8,todo bien,Promotor,9
10,buen servicio,Promotor,13
10,excelente atencion,Promotor,18
9,todo bien,Promotor,9
10,excelente servicio,Promotor,18
4,la asistencia de mi asesor buena el tiempo del trabajo muy extenso,Detractor,66
10,me cumplieron en tiempo y forma,Promotor,31
9,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo muy bien,Promotor,13
10,ninguna todo bien,Promotor,17
10,todo muy bien,Promotor,13
9,todo bien,Promotor,9
10,hacer una cita por telefono es complicado,Neutro,41
10,todo bien,Promotor,9
10,estuvo muy bien,Promotor,15
8,por que no pasaron el escaner porque quieren mas dinero con sus diagnosticos de 3 dias,Neutro,86
8,todo muy bien solo mas comunicacion con el cliente,Neutro,50
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo estuvo bien,Promotor,16
10,todo muy bien gracia,Promotor,20
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,atencion increible especifica clara y supieron escuchar mis puntos del auto,Promotor,75
9,todo esta perfecto solo los tiempos de entrega,Neutro,46
9,la entrega es muy tardada,Detractor,25
10,todo bien,Promotor,9
7,todo bien con la asesora solo que la entrega se demoro muchisimo,Detractor,64
10,todo bien,Promotor,9
1,falta de comunicacion para recoger unidad,Detractor,41
10,todo en orden,Promotor,13
10,muy buena atencion y servicio,Promotor,29
9,la atencion mejoro muchisimo al cambio de personal,Promotor,50
10,el sr arroyo muy profesional cumplio en tiempo y forma,Promotor,54
6,muy mal servicio nadie me atiende,Detractor,33
10,todo muy bien,Promotor,13
10,todo bien,Promotor,9
9,todo bien,Promotor,9
9,todo bien,Promotor,9
10,todo muy bien,Promotor,13
1,el lavado de carroceria es horrible,Detractor,35
10,muy buena su atencion,Promotor,21
10,muy bueno y rapido,Promotor,18
10,ninguna todo bien,Promotor,17
9,todo bien,Promotor,9
10,bien todo bien,Promotor,14
9,sin comentaios,Promotor,14
9,todo bien,Promotor,9
10,todo bien,Promotor,9
9,todo bien solo que me entregaron unidad con un rayon,Neutro,52
8,solo mayor comunicacion y mayor compromiso con los tiempo de entrega,Neutro,68
10,todo muy bien,Promotor,13
10,excelente servicio en todo,Promotor,26
10,muy bueno,Promotor,9
10,todo perfecto,Promotor,13
10,buenisimo mi asesor eduardo muy rapido,Promotor,38
10,su atencion fue rapida,Promotor,22
10,excelente,Promotor,9
10,todo muy bien,Promotor,13
8,todo bien solo mas rapidez en la entrega,Neutro,40
10,todo bien,Promotor,9
9,me cambiaron horario de entrega pero todo bien,Neutro,46
9,todo bien,Promotor,9
10,todo bien,Promotor,9
9,la atencion fue muy buena solo lo que me estan queriendo cobrar por los adicionales esta muy excesivo,Promotor,101
10,buena,Promotor,5
10,en esta ocasion excelente,Promotor,25
10,excelente trabajo solo el tiempo de entrega,Neutro,43
10,muy bien excelente,Promotor,18
9,todo bien por el momento,Promotor,24
10,siempre es excelente,Promotor,20
10,excelente atencion,Promotor,18
8,fue tardia la entrega,Detractor,21
9,buena,Promotor,5
10,bastante buena,Promotor,14
10,buena,Promotor,5
10,mejora desde mi ultima vista,Promotor,28
9,ninguna todo bien,Promotor,17
10,todo muy bien gracias,Promotor,21
9,todo bien,Promotor,9
10,bien todo bien,Promotor,14
1,que sean mas cumplidos respondan y expliquen que tiene y que no tiene garantia,Detractor,78
9,trabajo realizado,Neutro,17
10,siempre ha sido muy rapido y amable mi asesor,Promotor,45
10,todo estuvo bien,Promotor,16
10,todo bien,Promotor,9
10,trabajo realizado,Neutro,17
10,bien hasta el momento,Promotor,21
10,excelente,Promotor,9
9,sin comentaios,Promotor,14
10,buenos precios,Neutro,14
10,excelente atencion,Promotor,18
10,todo bien,Promotor,9
9,todo bien,Promotor,9
8,mandarme las fotos de las reparaciones despues de la autorizacion,Detractor,65
10,ninguna todo bien,Promotor,17
10,todo muy bien,Promotor,13
10,excelente servicio,Promotor,18
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo bien,Promotor,9
1,excesivo tiempo para cotizacion y reparacion asi como en el cobro 25 min para pagar el asesor muy bien,Detractor,102
10,me atendieron bien y fue rapido,Promotor,31
10,la atencion es muy buena son atentos y muy amables,Promotor,50
10,excelente servicio,Promotor,18
10,todo muy bien,Promotor,13
10,todo bien,Promotor,9
9,todo bien buena atencion,Promotor,24
10,muy buena la atencion,Promotor,21
10,una atencion muy buena muy atentos todos,Promotor,40
10,excelente cotizacion esta bien solo m o muy alto,Promotor,48
10,vamos bien,Promotor,10
10,si me atendieron muy bien,Promotor,25
5,el servicio deja mucho que desear es muy malo,Detractor,45
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,execelente,Promotor,10
9,todo muy bien es mi primer servicio todo en tiempo y forma,Promotor,58
10,todo al 100,Promotor,11
9,lo unico es que me llego un msj de gm que la unidad no estaba lista cuando llame me dijeron que no,Detractor,98
10,todo bien,Promotor,9
10,excelente,Promotor,9
10,mantenerse en contacto para saber como va el servicio desinformacion en llamada y whatsapp,Promotor,90
9,la espera en el cajero,Neutro,22
7,todo bien,Promotor,9
10,todo bien,Promotor,9
10,no lo lavaron al 100 como le dijeron,Promotor,36
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo muy bien,Promotor,13
10,todo bien,Promotor,9
9,todo bien,Promotor,9
10,cita en linea,Neutro,13
10,todo bien,Promotor,9
9,todo bien,Promotor,9
6,no le contestan en servicio,Detractor,27
10,todo bien,Promotor,9
10,bien trabajado,Promotor,14
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo bien,Promotor,9
9,mas rapidez en el servicio,Neutro,26
9,todo bien,Promotor,9
9,tood muy bien,Promotor,13
10,aguarda,Promotor,7
10,muy buena atencion y servicio,Promotor,29
10,puntualidad con el servicio,Promotor,27
10,todo bien,Promotor,9
6,servicio deja mucho que desear no hay seguimiento no va a regresar,Detractor,66
10,todo muy bien y excelente atencion,Promotor,34
10,todo bien puntualidad y velocidad,Promotor,33
10,todo bien,Promotor,9
8,cuando hable me dijeron que tenia dos campanas y cuando vine solo dijeron que una,Neutro,81
10,es buena,Promotor,8
8,todo bien el proceso es lento,Detractor,29
8,su asesor esta desinformado necesita mas informacion de garantias,Detractor,65
10,todo bien,Promotor,9
10,perfecto,Promotor,8
9,todo bien,Promotor,9
10,todo bien,Promotor,9
9,todo bien,Promotor,9
9,que sigan con el servicio,Neutro,25
10,esta bien no hay quejas,Promotor,23
9,buena,Promotor,5
10,todo bien,Promotor,9
10,todo bien en orden,Promotor,18
10,excelente atencion,Promotor,18
10,todo bien,Promotor,9
10,todo bien,Promotor,9
8,el tiempo de espera es muy tardado,Neutro,34
10,todo muy bien,Promotor,13
10,la persona que lp busco por whatsapp no le comento sobre su campana,Detractor,67
10,todo bien agradezco el servicio,Promotor,31
10,excelente,Promotor,9
10,todo bien,Promotor,9
9,todo muy bien,Promotor,13
9,todo bien,Promotor,9
9,todo bien,Promotor,9
10,todo muy bien,Promotor,13
10,todo bien el tiempo de espera es el indicado,Promotor,44
10,todo excelente,Promotor,14
10,muy buen servicio,Promotor,17
10,todo bien,Promotor,9
10,los asesores siempre han sido muy agradables,Promotor,44
10,excelente servicio desde que llegue,Promotor,35
10,todo bie solo que no me gusto que me entregaran mojado el auto,Detractor,62
10,todo bien,Promotor,9
10,buena,Promotor,5
10,precios altos de focos,Neutro,22
10,precios altos,Neutro,13
10,muy buena atencion,Promotor,18
10,todo muy bueno,Promotor,14
9,todo bien,Promotor,9
9,tiempo de espera fue mas de hora y media esperando,Neutro,50
10,no les dieron de lo que le hicieron o como se encuentra su carro mas explicito,Detractor,78
10,no hay lugar para estacionarse,Promotor,30
10,todo le han resuelto correctamente,Promotor,34
10,todo bien menos un pago de cargos moratoria no han hecho la devolucion ni me han dado respuesta,Promotor,95
10,perfecto,Promotor,8
10,todo bien,Promotor,9
7,en el servicio no se le observo que requeria cambio de balatas y no le fijaron que requeria cambio de filtro,Detractor,108
10,esta muy caro,Promotor,13
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo bien,Promotor,9
9,mucho tiempo de espera,Neutro,22
10,todo bien por el momento,Promotor,24
10,todo excelente,Promotor,14
10,todo bien pero hoy fue tardada la entrega,Promotor,41
0,costos excesivos,Detractor,16
8,se tardan mucho en las entregas hasta 2 horas ha esperado,Detractor,57
5,no me gusto que ni me podia comunicar con nadie,Detractor,47
8,cajas es tardado,Detractor,16
6,mala informacion y al final otro precio quieren cobrar mas,Detractor,58
10,todo bien,Promotor,9
9,todo bien,Promotor,9
10,todo bien,Promotor,9
10,la caja es muy lenta,Neutro,20
2,la atencion de la asesora fue pesima el gerente me atendio bien hoy,Detractor,67
9,todo esta bien pero en caja es muy tardado o no tienen cambio,Promotor,61
10,esta bien todo menos caja tardan mucho,Promotor,38
10,todo muy bien,Promotor,13
10,todo bien muy atento el asesor,Promotor,30
8,todo bien,Promotor,9
10,en caja es mucha espera y no le mandaron cotizacion,Neutro,51
10,todo muy bien,Promotor,13
8,tardan las refacciones y es muy raro,Detractor,36
10,todo excelente,Promotor,14
10,todo bien hasta el momento,Promotor,26
10,es muy lenta la caja,Neutro,20
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,agradecida por su atencion todo bien,Promotor,36
10,muchos dias para lo que le hicieron,Detractor,35
10,todo bien,Promotor,9
9,todo bien,Promotor,9
9,extencion de horario en la recepcion como en la entrega,Neutro,55
10,tofo bien,Promotor,9
10,muy bien,Promotor,8
10,excelente servicio,Promotor,18
10,se tardan mucho en llegar las refacciones y afecta en el tiempo de entrega en este caso fue de un mes,Neutro,101
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo bien,Promotor,9
6,cumpliendo en el horario de entrega,Detractor,35
10,todo bien,Promotor,9
10,deberia de haber llamadas y mensajes desde temprano,Neutro,51
10,precios alto,Neutro,12
10,le gustaria que la atencion en linea se diera mas informacion,Neutro,61
9,todo bien,Promotor,9
4,amabilidad en cajas,Detractor,19
9,cajas son muy tardadas,Promotor,22
10,en caja fue tardado,Promotor,19
5,cliente insatisfecho por golpe a su vehiculo,Detractor,44
